AREANM,AREACD,Year,GDHI,UK_Average,Diff_from_UK_Avg,Pct_of_UK_Avg,Income_Category
Harrow and Hillingdon,UKI74,1997,11488,10603.748603351954,884.2513966480456,108.33904527280593,Low
Hounslow and Richmond upon Thames,UKI75,1997,17505,10603.748603351954,6901.251396648046,165.08312913479003,Medium
Berkshire,UKJ11,1997,13778,10603.748603351954,3174.2513966480456,129.93518156064764,Low
Milton Keynes,UKJ12,1997,11187,10603.748603351954,583.2513966480456,105.50042648562675,Low
Buckinghamshire CC,UKJ13,1997,15163,10603.748603351954,4559.251396648046,142.99660023255188,Medium
Oxfordshire,UKJ14,1997,13290,10603.748603351954,2686.2513966480456,125.33303548708136,Low
Brighton and Hove,UKJ21,1997,12033,10603.748603351954,1429.2513966480456,113.47873709676826,Low
East Sussex CC,UKJ22,1997,11848,10603.748603351954,1244.2513966480456,111.73407106478103,Low
West Surrey,UKJ25,1997,16313,10603.748603351954,5709.251396648046,153.84182151247242,Medium
East Surrey,UKJ26,1997,15848,10603.748603351954,5244.251396648046,149.45657986450456,Medium
West Sussex (South West),UKJ27,1997,11506,10603.748603351954,902.2513966480456,108.50879656240468,Low
West Sussex (North East),UKJ28,1997,14840,10603.748603351954,4236.251396648046,139.95050764697424,Low
Portsmouth,UKJ31,1997,9368,10603.748603351954,-1235.7486033519544,88.34611560895247,Low
Southampton,UKJ32,1997,9627,10603.748603351954,-976.7486033519544,90.78864805373456,Low
Isle of Wight,UKJ34,1997,9865,10603.748603351954,-738.7486033519544,93.03313732731812,Low
South Hampshire,UKJ35,1997,10779,10603.748603351954,175.25139664804556,101.65273058805494,Low
Central Hampshire,UKJ36,1997,13476,10603.748603351954,2872.2513966480456,127.08713214626852,Low
North Hampshire,UKJ37,1997,13905,10603.748603351954,3301.2513966480456,131.13287121503885,Low
Medway,UKJ41,1997,10830,10603.748603351954,226.25139664804556,102.1336925752514,Low
Kent Thames Gateway,UKJ43,1997,10683,10603.748603351954,79.25139664804556,100.74739037686157,Low
East Kent,UKJ44,1997,9064,10603.748603351954,-1539.7486033519544,85.47920494017347,Low
Mid Kent,UKJ45,1997,12667,10603.748603351954,2063.2513966480456,119.45775474152443,Low
West Kent,UKJ46,1997,15855,10603.748603351954,5251.251396648046,149.52259425490405,Medium
"Bristol, City of",UKK11,1997,10387,10603.748603351954,-216.74860335195444,97.95592472568202,Low
"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12,1997,12122,10603.748603351954,1518.2513966480456,114.3180629175621,Low
Gloucestershire,UKK13,1997,11799,10603.748603351954,1195.2513966480456,111.27197033198443,Low
Swindon,UKK14,1997,11137,10603.748603351954,533.2513966480456,105.02889512563019,Low
Wiltshire CC,UKK15,1997,11879,10603.748603351954,1275.2513966480456,112.02642050797891,Low
Bournemouth and Poole,UKK21,1997,11465,10603.748603351954,861.2513966480456,108.12214084720753,Low
Dorset CC,UKK22,1997,11882,10603.748603351954,1278.2513966480456,112.0547123895787,Low
Somerset,UKK23,1997,11019,10603.748603351954,415.25139664804556,103.91608111603834,Low
Cornwall and Isles of Scilly,UKK30,1997,9957,10603.748603351954,-646.7486033519544,93.90075502971175,Low
Plymouth,UKK41,1997,9258,10603.748603351954,-1345.7486033519544,87.30874661696006,Low
Torbay,UKK42,1997,10051,10603.748603351954,-552.7486033519544,94.78723398650526,Low
Devon CC,UKK43,1997,11216,10603.748603351954,612.2513966480456,105.77391467442472,Low
Isle of Anglesey,UKL11,1997,9644,10603.748603351954,-959.7486033519544,90.94896871613338,Low
Gwynedd,UKL12,1997,8964,10603.748603351954,-1639.7486033519544,84.5361422201804,Low
Conwy and Denbighshire,UKL13,1997,10441,10603.748603351954,-162.74860335195444,98.4651785944783,Low
South West Wales,UKL14,1997,9186,10603.748603351954,-1417.7486033519544,86.62974145856505,Low
Central Valleys,UKL15,1997,8120,10603.748603351954,-2483.7486033519544,76.57669286343874,Low
Gwent Valleys,UKL16,1997,8854,10603.748603351954,-1749.7486033519544,83.498773228188,Low
Bridgend and Neath Port Talbot,UKL17,1997,9772,10603.748603351954,-831.7486033519544,92.15608899772454,Low
Swansea,UKL18,1997,9501,10603.748603351954,-1102.7486033519544,89.60038902654327,Low
Monmouthshire and Newport,UKL21,1997,9919,10603.748603351954,-684.7486033519544,93.54239119611438,Low
Cardiff and Vale of Glamorgan,UKL22,1997,10004,10603.748603351954,-599.7486033519544,94.34399450810851,Low
Flintshire and Wrexham,UKL23,1997,9772,10603.748603351954,-831.7486033519544,92.15608899772454,Low
Powys,UKL24,1997,9348,10603.748603351954,-1255.7486033519544,88.15750306495384,Low
Aberdeen City and Aberdeenshire,UKM50,1997,11103,10603.748603351954,499.25139664804556,104.70825380083252,Low
Caithness & Sutherland and Ross & Cromarty,UKM61,1997,9826,10603.748603351954,-777.7486033519544,92.6653428665208,Low
"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,1997,8970,10603.748603351954,-1633.7486033519544,84.59272598337998,Low
"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,1997,8338,10603.748603351954,-2265.7486033519544,78.63256959302366,Low
Na h-Eileanan Siar (Western Isles),UKM64,1997,8721,10603.748603351954,-1882.7486033519544,82.24449981059718,Low
Orkney Islands,UKM65,1997,8116,10603.748603351954,-2487.7486033519544,76.538970354639,Low
Shetland Islands,UKM66,1997,9475,10603.748603351954,-1128.7486033519544,89.35519271934507,Low
Angus and Dundee City,UKM71,1997,9382,10603.748603351954,-1221.7486033519544,88.4781443897515,Low
Clackmannanshire and Fife,UKM72,1997,9090,10603.748603351954,-1513.7486033519544,85.72440124737169,Low
East Lothian and Midlothian,UKM73,1997,10113,10603.748603351954,-490.74860335195444,95.37193287290097,Low
"Edinburgh, City of",UKM75,1997,12195,10603.748603351954,1591.2513966480456,115.00649870315706,Low
Falkirk,UKM76,1997,8798,10603.748603351954,-1805.7486033519544,82.97065810499187,Low
Perth & Kinross and Stirling,UKM77,1997,11359,10603.748603351954,755.2513966480456,107.12249436401484,Low
West Lothian,UKM78,1997,8475,10603.748603351954,-2128.7486033519544,79.92456551941419,Low
"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,1997,9459,10603.748603351954,-1144.7486033519544,89.20430268414617,Low
Glasgow City,UKM82,1997,9036,10603.748603351954,-1567.7486033519544,85.21514737857542,Low
"Inverclyde, East Renfrewshire and Renfrewshire",UKM83,1997,10470,10603.748603351954,-133.74860335195444,98.7386667832763,Low
North Lanarkshire,UKM84,1997,8793,10603.748603351954,-1810.7486033519544,82.9235049689922,Low
Scottish Borders,UKM91,1997,9689,10603.748603351954,-914.7486033519544,91.37334694013028,Low
Dumfries & Galloway,UKM92,1997,9435,10603.748603351954,-1168.7486033519544,88.97796763134784,Low
East Ayrshire and North Ayrshire mainland,UKM93,1997,8464,10603.748603351954,-2139.7486033519544,79.82082862021495,Low
South Ayrshire,UKM94,1997,9659,10603.748603351954,-944.7486033519544,91.09042812413234,Low
South Lanarkshire,UKM95,1997,9748,10603.748603351954,-855.7486033519544,91.92975394492619,Low
Belfast,UKN06,1997,9957,10603.748603351954,-646.7486033519544,93.90075502971175,Low
"Armagh City, Banbridge and Craigavon",UKN07,1997,8685,10603.748603351954,-1918.7486033519544,81.90499723139968,Low
"Newry, Mourne and Down",UKN08,1997,8535,10603.748603351954,-2068.7486033519544,80.49040315141004,Low
Ards and North Down,UKN09,1997,9608,10603.748603351954,-995.7486033519544,90.60946613693588,Low
Derry City and Strabane,UKN10,1997,7132,10603.748603351954,-3471.7486033519544,67.25923318990702,Low
Mid Ulster,UKN11,1997,7833,10603.748603351954,-2770.7486033519544,73.87010285705855,Low
Causeway Coast and Glens,UKN12,1997,7144,10603.748603351954,-3459.7486033519544,67.37240071630619,Low
Antrim and Newtownabbey,UKN13,1997,9390,10603.748603351954,-1213.7486033519544,88.55358940735094,Low
Lisburn and Castlereagh,UKN14,1997,9443,10603.748603351954,-1160.7486033519544,89.05341264894729,Low
Mid and East Antrim,UKN15,1997,9331,10603.748603351954,-1272.7486033519544,87.99718240255501,Low
Fermanagh and Omagh,UKN16,1997,7772,10603.748603351954,-2831.7486033519544,73.29483459786277,Low
Hartlepool and Stockton-on-Tees,UKC11,1998,9362,10965.474860335196,-1603.4748603351964,85.3770595367889,Low
South Teesside,UKC12,1998,8799,10965.474860335196,-2166.4748603351964,80.2427629634913,Low
Darlington,UKC13,1998,9656,10965.474860335196,-1309.4748603351964,88.05820197470985,Low
Durham CC,UKC14,1998,9573,10965.474860335196,-1392.4748603351964,87.30128081026278,Low
Northumberland,UKC21,1998,10563,10965.474860335196,-402.47486033519635,96.329617591017,Low
Tyneside,UKC22,1998,9594,10965.474860335196,-1371.4748603351964,87.49279098439999,Low
Sunderland,UKC23,1998,8589,10965.474860335196,-2376.4748603351964,78.32766122211919,Low
West Cumbria,UKD11,1998,9553,10965.474860335196,-1412.4748603351964,87.11889016822734,Low
East Cumbria,UKD12,1998,11509,10965.474860335196,543.5251396648036,104.95669495929324,Low
Manchester,UKD33,1998,7553,10965.474860335196,-3412.4748603351964,68.87982596468346,Low
Greater Manchester South West,UKD34,1998,12268,10965.474860335196,1302.5251396648036,111.87841982453817,Low
Greater Manchester South East,UKD35,1998,10151,10965.474860335196,-814.4748603351964,92.57237036508697,Low
Greater Manchester North West,UKD36,1998,10185,10965.474860335196,-780.4748603351964,92.8824344565472,Low
Greater Manchester North East,UKD37,1998,9343,10965.474860335196,-1622.4748603351964,85.20378842685523,Low
Blackburn with Darwen,UKD41,1998,8626,10965.474860335196,-2339.4748603351964,78.66508390988474,Low
Blackpool,UKD42,1998,9838,10965.474860335196,-1127.4748603351964,89.71795681723235,Low
Lancaster and Wyre,UKD44,1998,9555,10965.474860335196,-1410.4748603351964,87.1371292324309,Low
Mid Lancashire,UKD45,1998,11115,10965.474860335196,149.52513966480365,101.36359931119512,Low
East Lancashire,UKD46,1998,8560,10965.474860335196,-2405.4748603351964,78.0631947911678,Low
Chorley and West Lancashire,UKD47,1998,10599,10965.474860335196,-366.47486033519635,96.65792074668079,Low
Warrington,UKD61,1998,10814,10965.474860335196,-151.47486033519635,98.61862014856175,Low
Cheshire East,UKD62,1998,12540,10965.474860335196,1574.5251396648036,114.35893255622011,Low
Cheshire West and Chester,UKD63,1998,11380,10965.474860335196,414.52513966480365,103.78027531816467,Low
East Merseyside,UKD71,1998,8499,10965.474860335196,-2466.4748603351964,77.50690333295972,Low
Liverpool,UKD72,1998,8621,10965.474860335196,-2344.4748603351964,78.6194862493759,Low
Sefton,UKD73,1998,11796,10965.474860335196,830.5251396648036,107.5740006725018,Low
Wirral,UKD74,1998,10677,10965.474860335196,-288.47486033519635,97.369244250619,Low
"Kingston upon Hull, City of",UKE11,1998,7791,10965.474860335196,-3174.4748603351964,71.05027460490518,Low
East Riding of Yorkshire,UKE12,1998,11065,10965.474860335196,99.52513966480365,100.90762270610651,Low
North and North East Lincolnshire,UKE13,1998,9711,10965.474860335196,-1254.4748603351964,88.55977624030731,Low
York,UKE21,1998,11347,10965.474860335196,381.52513966480365,103.4793307588062,Low
North Yorkshire CC,UKE22,1998,12492,10965.474860335196,1526.5251396648036,113.92119501533506,Low
"Barnsley, Doncaster and Rotherham",UKE31,1998,9106,10965.474860335196,-1859.4748603351964,83.04245931873528,Low
Sheffield,UKE32,1998,9629,10965.474860335196,-1336.4748603351964,87.811974607962,Low
Bradford,UKE41,1998,9562,10965.474860335196,-1403.4748603351964,87.20096595714328,Low
Leeds,UKE42,1998,10513,10965.474860335196,-452.47486033519635,95.8736409859284,Low
Calderdale and Kirklees,UKE44,1998,9905,10965.474860335196,-1060.4748603351964,90.32896546805105,Low
Wakefield,UKE45,1998,9719,10965.474860335196,-1246.4748603351964,88.63273249712148,Low
Derby,UKF11,1998,9539,10965.474860335196,-1426.4748603351964,86.99121671880253,Low
East Derbyshire,UKF12,1998,9049,10965.474860335196,-1916.4748603351964,82.52264598893429,Low
South and West Derbyshire,UKF13,1998,10068,10965.474860335196,-897.4748603351964,91.81544920063989,Low
Nottingham,UKF14,1998,8674,10965.474860335196,-2291.4748603351964,79.1028214507698,Low
North Nottinghamshire,UKF15,1998,9586,10965.474860335196,-1379.4748603351964,87.41983472758581,Low
South Nottinghamshire,UKF16,1998,11492,10965.474860335196,526.5251396648036,104.80166291356312,Low
Leicester,UKF21,1998,8267,10965.474860335196,-2698.4748603351964,75.39117188534863,Low
Leicestershire CC and Rutland,UKF22,1998,11480,10965.474860335196,514.5251396648036,104.69222852834186,Low
West Northamptonshire,UKF24,1998,11238,10965.474860335196,272.52513966480365,102.48530175971307,Low
North Northamptonshire,UKF25,1998,10579,10965.474860335196,-386.47486033519635,96.47553010464534,Low
Lincolnshire,UKF30,1998,10455,10965.474860335196,-510.47486033519635,95.34470812402563,Low
"Herefordshire, County of",UKG11,1998,10803,10965.474860335196,-162.47486033519635,98.51830529544226,Low
Worcestershire,UKG12,1998,11886,10965.474860335196,920.5251396648036,108.39475856166128,Low
Warwickshire,UKG13,1998,12146,10965.474860335196,1180.5251396648036,110.76583690812198,Low
Telford and Wrekin,UKG21,1998,10406,10965.474860335196,-559.4748603351964,94.8978510510388,Low
Shropshire CC,UKG22,1998,11448,10965.474860335196,482.52513966480365,104.40040350108517,Low
Stoke-on-Trent,UKG23,1998,8480,10965.474860335196,-2485.4748603351964,77.33363222302604,Low
Staffordshire CC,UKG24,1998,10819,10965.474860335196,-146.47486033519635,98.66421780907062,Low
Birmingham,UKG31,1998,9175,10965.474860335196,-1790.4748603351964,83.67170703375754,Low
Solihull,UKG32,1998,12679,10965.474860335196,1713.5251396648036,115.62654751836644,Low
Coventry,UKG33,1998,9193,10965.474860335196,-1772.4748603351964,83.83585861158944,Low
Dudley,UKG36,1998,10058,10965.474860335196,-907.4748603351964,91.72425387962217,Low
Sandwell,UKG37,1998,8516,10965.474860335196,-2449.4748603351964,77.66193537868983,Low
Walsall,UKG38,1998,9342,10965.474860335196,-1623.4748603351964,85.19466889475346,Low
Wolverhampton,UKG39,1998,9353,10965.474860335196,-1612.4748603351964,85.29498374787295,Low
Peterborough,UKH11,1998,10344,10965.474860335196,-621.4748603351964,94.33244006072894,Low
Cambridgeshire CC,UKH12,1998,12031,10965.474860335196,1065.5251396648036,109.7170907164182,Low
Suffolk,UKH14,1998,10433,10965.474860335196,-532.4748603351964,95.14407841778664,Low
Norwich and East Norfolk,UKH15,1998,10333,10965.474860335196,-632.4748603351964,94.23212520760946,Low
North and West Norfolk,UKH16,1998,9802,10965.474860335196,-1163.4748603351964,89.38965366156856,Low
Breckland and South Norfolk,UKH17,1998,10678,10965.474860335196,-287.47486033519635,97.37836378272077,Low
Luton,UKH21,1998,8994,10965.474860335196,-1971.4748603351964,82.02107172333683,Low
Hertfordshire,UKH23,1998,13969,10965.474860335196,3003.5251396648036,127.39074392965222,Low
Bedford,UKH24,1998,11560,10965.474860335196,594.5251396648036,105.42179109648362,Low
Central Bedfordshire,UKH25,1998,12358,10965.474860335196,1392.5251396648036,112.69917771369764,Low
Southend-on-Sea,UKH31,1998,11073,10965.474860335196,107.52513966480365,100.9805789629207,Low
Thurrock,UKH32,1998,10372,10965.474860335196,-593.4748603351964,94.58778695957855,Low
Essex Haven Gateway,UKH34,1998,10458,10965.474860335196,-507.47486033519635,95.37206672033095,Low
West Essex,UKH35,1998,13761,10965.474860335196,2795.5251396648036,125.49388125248366,Low
Heart of Essex,UKH36,1998,13919,10965.474860335196,2953.5251396648036,126.93476732456364,Low
Essex Thames Gateway,UKH37,1998,11711,10965.474860335196,745.5251396648036,106.79884044385119,Low
Camden and City of London,UKI31,1998,20654,10965.474860335196,9688.525139664804,188.35481602999764,High
Westminster,UKI32,1998,22028,10965.474860335196,11062.525139664804,200.8850531378323,Very High
Kensington & Chelsea and Hammersmith & Fulham,UKI33,1998,28204,10965.474860335196,17238.525139664802,257.2072833983758,Very High
Wandsworth,UKI34,1998,15615,10965.474860335196,4649.525139664804,142.40149376916884,Medium
Hackney and Newham,UKI41,1998,7061,10965.474860335196,-3904.4748603351964,64.39301617061166,Low
Tower Hamlets,UKI42,1998,13624,10965.474860335196,2658.5251396648036,124.2445053545409,Low
Haringey and Islington,UKI43,1998,15763,10965.474860335196,4797.525139664804,143.75118452023108,Medium
Lewisham and Southwark,UKI44,1998,10578,10965.474860335196,-387.47486033519635,96.46641057254358,Low
Lambeth,UKI45,1998,11639,10965.474860335196,673.5251396648036,106.14223413252361,Low
Bexley and Greenwich,UKI51,1998,13129,10965.474860335196,2163.5251396648036,119.7303369641638,Low
Barking & Dagenham and Havering,UKI52,1998,10797,10965.474860335196,-168.47486033519635,98.46358810283164,Low
Redbridge and Waltham Forest,UKI53,1998,11448,10965.474860335196,482.52513966480365,104.40040350108517,Low
Enfield,UKI54,1998,11453,10965.474860335196,487.52513966480365,104.44600116159401,Low
Bromley,UKI61,1998,14736,10965.474860335196,3770.5251396648036,134.38542505171128,Low
Croydon,UKI62,1998,10776,10965.474860335196,-189.47486033519635,98.27207792869443,Low
"Merton, Kingston upon Thames and Sutton",UKI63,1998,14806,10965.474860335196,3840.5251396648036,135.02379229883533,Low
Barnet,UKI71,1998,13480,10965.474860335196,2514.5251396648036,122.93129273188575,Low
Brent,UKI72,1998,11383,10965.474860335196,417.52513966480365,103.80763391446999,Low
Ealing,UKI73,1998,13503,10965.474860335196,2537.5251396648036,123.14104197022651,Low
Harrow and Hillingdon,UKI74,1998,12209,10965.474860335196,1243.5251396648036,111.34036743053362,Low
Hounslow and Richmond upon Thames,UKI75,1998,18134,10965.474860335196,7168.525139664804,165.37359513353235,High
Berkshire,UKJ11,1998,14254,10965.474860335196,3288.5251396648036,129.98981057865723,Low
Milton Keynes,UKJ12,1998,11540,10965.474860335196,574.5251396648036,105.23940045444817,Low
Buckinghamshire CC,UKJ13,1998,15664,10965.474860335196,4698.525139664804,142.84835084215567,Medium
Oxfordshire,UKJ14,1998,13703,10965.474860335196,2737.5251396648036,124.9649483905809,Low
Brighton and Hove,UKJ21,1998,12262,10965.474860335196,1296.5251396648036,111.82370263192753,Low
East Sussex CC,UKJ22,1998,12161,10965.474860335196,1195.5251396648036,110.90262988964857,Low
West Surrey,UKJ25,1998,17198,10965.474860335196,6232.525139664804,156.83771308627382,Medium
East Surrey,UKJ26,1998,16808,10965.474860335196,5842.525139664804,153.28109556658276,Medium
